team,team_id,url
AUM,603006,https://aumathletics.com/sports/womens-soccer
Adams St.,603104,https://asugrizzlies.com/sports/womens-soccer
Adelphi,603014,https://aupanthers.com/sports/womens-soccer
Albany St. (GA),603010,https://goeulions.com/sports/womens-soccer
Allen,603165,
American Int'l,603016,https://www.aicyellowjackets.com/sports/wsoc/index
Anderson (SC),602957,https://autrojans.com/sports/womens-soccer
Angelo St.,603169,
Ashland,603170,https://goashlandeagles.com/sports/womens-soccer
Assumption,603017,https://assumptiongreyhounds.com/sports/womens-soccer
Augustana (SD),603018,
Azusa Pacific,603070,https://athletics.apu.edu/sports/womens-soccer
Barry,603019,https://gobarrybucs.com/sports/womens-soccer
Barton,602959,https://bartonbulldogs.com/sports/womens-soccer
Belmont Abbey,603150,https://abbeyathletics.com/sports/womens-soccer
Bemidji St.,603020,
Bentley,603021,https://bentleyfalcons.com/sports/womens-soccer
Biola,603005,https://athletics.biola.edu/sports/womens-soccer
Black Hills St.,603065,
Bloomsburg,603022,https://buhuskies.com/sports/womens-soccer
Bluefield St.,602976,
Bridgeport,603023,https://www.ubknights.com/sports/wsoc/index
CSU Pueblo,602929,
CSUSB,603027,
CUI,603001,
Cal Poly Humboldt,603046,https://humboldtathletics.com/sports/womens-soccer
Cal Poly Pomona,603171,https://broncoathletics.com/sports/womens-soccer
Cal St. Dom. Hills,603024,https://gotoros.com/sports/womens-soccer
Cal St. East Bay,603029,https://eastbaypioneers.com/sports/womens-soccer
Cal St. Monterey Bay,602974,https://otterathletics.com/sports/womens-soccer
Cal St. San Marcos,603000,https://csusmcougars.com/sports/womens-soccer
Cal State LA,603030,https://lagoldeneagles.com/sports/womens-soccer
Caldwell,603105,https://caldwellathletics.com/sports/womens-soccer
California (PA),603032,https://calvulcans.com/sports/womens-soccer
Carson-Newman,603106,https://www.cneagles.com/sports/w-soccer/index
Catawba,603107,https://www.catawbaathletics.com/sports/wsoc/index
Cedarville,602986,https://yellowjackets.cedarville.edu/sports/womens-soccer
Central Mo.,603172,
Central Okla.,603108,
Central Wash.,603109,
Chaminade,603033,https://goswords.com/sports/womens-soccer
Charleston (WV),603110,https://ucgoldeneagles.com/sports/womens-soccer
Chestnut Hill,602963,https://griffinathletics.com/sports/womens-soccer
Chico St.,603028,https://chicowildcats.com/sports/womens-soccer
Chowan,602938,https://gocuhawks.com/sports/womens-soccer
Christian Brothers,603111,https://cbubucs.com/sports/womens-soccer
Clarion,603034,
Clayton St.,602961,https://claytonstatesports.com/sports/wsoc/index
Coker,603112,https://www.cokercobras.com/sports/wsoc/index
Colo. Christian,602952,https://ccucougars.com/sports/womens-soccer
Colo. Sch. of Mines,603173,https://minesathletics.com/sports/womens-soccer
Colorado Mesa,602953,https://cmumavericks.com/sports/womens-soccer
Columbus St.,603174,
Concord,603113,https://cumountainlions.com/sports/womens-soccer
Concordia-St. Paul,602946,https://unweagles.com/sports/womens-soccer
Converse,602939,https://govalkyries.com/sports/womens-soccer
D'Youville,603007,https://dyusaints.com/sports/womens-soccer
DBU,603114,
Daemen,602992,https://daemenwildcats.com/sports/womens-soccer
Davenport,603011,https://dupanthers.com/sports/womens-soccer
Davis & Elkins,603035,https://senatornation.com/sports/womens-soccer
Delta St.,603036,https://gostatesmen.com/sports/womens-soccer
Dominican (CA),602982,https://dominicanathletics.com/sports/womens-soccer
Dominican (NY),602940,https://www.chargerathletics.com/sports/wsoc/index
Drury,603115,https://drurypanthers.com/sports/womens-soccer
East Central,602941,
East Stroudsburg,603037,https://esuwarriors.com/sports/womens-soccer
Eastern N.M.,603039,https://goeasternathletics.com/sports/womens-soccer
Eckerd,603040,https://eckerdtritons.com/sports/womens-soccer
Edinboro,603041,
Edward Waters,603025,
Embry-Riddle (FL),602949,https://erauathletics.com/sports/womens-soccer
Emmanuel (GA),602999,https://goeulions.com/sports/womens-soccer
Emory & Henry,603026,https://www.gowasps.com/sports/wsoc/index
Emporia St.,603116,
Erskine,603117,https://erskinesports.com/sports/womens-soccer
Fairmont St.,603118,
Felician,602964,https://felicianuathletics.com/sports/womens-soccer
Ferris St.,603042,
Ferrum,603570,https://ferrumpanthers.com/sports/womens-soccer
Findlay,603119,https://findlayoilers.com/sports/womens-soccer
Fla. Southern,603043,https://fscmocs.com/sports/womens-soccer
Flagler,602981,https://flaglerathletics.com/sports/womens-soccer
Florida Tech,603175,https://floridatechsports.com/sports/womens-soccer
Fort Hays St.,602943,https://fhsuathletics.com/sports/womens-soccer
Fort Lewis,603120,https://goskyhawks.com/sports/womens-soccer
Francis Marion,603184,https://fmupatriots.com/sports/womens-soccer/
Franklin Pierce,603176,https://www.fpuravens.com/sports/wsoc/index
Fresno Pacific,603071,https://www.fpuathletics.com/sports/womens-soccer
Frostburg St.,603008,https://frostburgsports.com/sports/womens-soccer
Ga. Southwestern,603122,https://www.gswcanes.com/sports/wsoc/index
Gannon,603044,https://gannonsports.com/sports/womens-soccer
Georgia College,603121,https://bceagles.com/sports/womens-soccer
Georgian Court,602942,https://gculions.com/sports/womens-soccer
Glenville St.,603004,
Goldey-Beacom,602934,https://www.gbcathletics.com/sports/womens-soccer
Grand Valley St.,603045,
Harding,603123,https://hardingsports.com/sports/womens-soccer
Hawaii Hilo,603152,https://hiloathletics.com/sports/womens-soccer
Hawaii Pacific,603151,https://hpusharks.com/sports/womens-soccer
Holy Family,603124,https://athletics.holyfamily.edu/sports/womens-soccer
Ill. Springfield,602970,https://uisprairiestars.com/sports/womens-soccer
Indiana (PA),603047,https://calvulcans.com/sports/womens-soccer
Jamestown,603162,
Jefferson,603183,https://jeffersonrams.com/sports/womens-soccer
Jessup,603163,https://jessupathletics.com/sports/womens-soccer
King (TN),602971,https://kingtornado.com/sports/womens-soccer
Kutztown,603050,
Ky. Wesleyan,603049,https://kwcpanthers.com/sports/womens-soccer
Lake Erie,602930,https://lakeeriestorm.com/sports/womens-soccer
Lander,603126,https://landerbearcats.com/sports/wsoc/index
Lee,602968,https://leeuflames.com/sports/womens-soccer
Lees-McRae,602958,https://lmcbobcats.com/sports/womens-soccer
Lenoir-Rhyne,603185,https://lrbears.com/sports/womens-soccer
Lewis,603051,https://lewisflyers.com/sports/womens-soccer
Lincoln (MO),603156,https://lubluetigers.com/sports/womens-soccer
Lincoln (PA),603052,https://calvulcans.com/sports/womens-soccer
Lincoln Memorial,603128,https://lmurailsplitters.com/sports/womens-soccer
Lock Haven,603054,https://www.golhu.com/sports/womens-soccer
Lubbock Christian,602993,https://lcuchaps.com/sports/womens-soccer
Lynn,602962,https://lynnfightingknights.com/sports/womens-soccer
MSU Denver,603058,https://roadrunnersathletics.com/sports/womens-soccer
MSU Moorhead,603132,
Malone,603066,https://malonepioneers.com/sports/womens-soccer
Mansfield,603055,
Mars Hill,603129,https://www.marshilllions.com/sports/wsoc/index
Mary,602978,https://tribeathletics.com/sports/womens-soccer
Maryville (MO),603056,https://maryvillesaints.com/sports/womens-soccer
McKendree,603067,https://mckbearcats.com/sports/womens-soccer
Menlo,603158,https://menloathletics.com/sports/womens-soccer
Mercy,603057,https://mercyathletics.com/sports/womens-soccer
Michigan Tech,603059,https://floridatechsports.com/sports/womens-soccer
Middle Georgia,617150,https://ungathletics.com/sports/womens-soccer
Midwestern St.,603130,https://msumustangs.com/sports/womens-soccer
Millersville,603060,https://millersvilleathletics.com/sports/womens-soccer
Minn. Duluth,603061,
Minn.-Crookston,602966,
Minnesota St.,603177,
Minot St.,602987,
Mississippi Col.,603062,https://cctigers.com/sports/womens-soccer
Missouri S&T,603063,https://minerathletics.com/sports/womens-soccer
Missouri Western,602945,
Mo. Southern St.,602944,
Mo.-St. Louis,603178,https://umsltritons.com/sports/womens-soccer
Molloy,603179,https://molloylions.com/sports/womens-soccer
Mont. St. Billings,603038,https://msubsports.com/sports/womens-soccer
Montevallo,603131,https://montevallofalcons.com/sports/womens-soccer
Mount Olive,603133,https://umotrojans.com/sports/womens-soccer
N.M. Highlands,602935,
Neb.-Kearney,603125,
Newberry,603134,https://newberrywolves.com/sports/womens-soccer
Newman,602973,https://newmanjets.com/sports/womens-soccer
North Georgia,602972,https://ungathletics.com/sports/womens-soccer
North Greenville,602947,https://nguathletics.com/sports/wsoc/index
Northeastern St.,602955,https://goriverhawksgo.com/sports/womens-soccer
Northern Mich.,603182,
Northern St.,603135,
Northwest Mo. St.,603076,
Northwest Nazarene,603136,https://nnusports.com/sports/womens-soccer
Northwestern Okla.,602994,
Northwood,603077,https://www.gonorthwood.com/sports/wsoc/index
Nova Southeastern,602965,https://nsusharks.com/sports/womens-soccer
Ohio Dominican,602983,https://ohiodominicanpanthers.com/sports/womens-soccer
Okla. Baptist,603002,https://cbulancers.com/sports/womens-soccer
Okla. Christian,602995,https://ccucougars.com/sports/womens-soccer
Ouachita Baptist,603186,https://obutigers.com/sports/womens-soccer
Pace,603078,
Palm Beach Atl.,602969,https://pbasailfish.com/sports/womens-soccer
Pitt.-Johnstown,603080,https://pittjohnstownathletics.com/sports/womens-soccer
Pittsburg St.,602926,
Point Loma,603181,https://plnusealions.com/sports/womens-soccer
Point Park,603160,https://pointparksports.com/sports/wsoc/index
Post,603137,https://posteagles.com/sports/womens-soccer
Purdue Northwest,603013,https://pnwathletics.com/sports/womens-soccer
Queens (NY),603081,https://queensknights.com/sports/womens-soccer
Quincy,603082,https://quhawks.com/sports/womens-soccer
Regis (CO),603083,https://regisrangers.com/sports/womens-soccer
Roberts Wesleyan,603072,https://robertsredhawks.com/sports/womens-soccer
Rockhurst,603138,https://rockhursthawks.com/sports/womens-soccer
Rogers St.,602996,https://rsuhillcats.com/sports/womens-soccer
Rollins,603084,https://rollinssports.com/sports/wsoc
Roosevelt,603159,https://rooseveltlakers.com/sports/womens-soccer
Saginaw Valley,603085,https://www.svsucardinals.com/sports/wsoc/index
Saint Anselm,603086,https://saintanselmhawks.com/sports/womens-soccer
Saint Leo,603088,https://saintleolions.com/sports/womens-soccer
Saint Martin's,603140,https://smusaints.com/sports/womens-soccer
Saint Michael's,603089,https://smcathletics.com/sports/womens-soccer
Salem (WV),602960,https://salemtigers.com/sports/womens-soccer
San Fran. St.,603090,https://sfstategators.com/sports/womens-soccer
Seattle Pacific,603091,https://spufalcons.com/sports/womens-soccer
Seton Hill,602975,https://athletics.setonhill.edu/sports/womens-soccer
Shaw,603012,https://shawbears.com/sports/womens-soccer
Shepherd,603166,https://shepherdrams.com/sports/womens-soccer
Shippensburg,603092,https://shipraiders.com/sports/womens-soccer
Shorter,602988,https://goshorterhawks.com/sports/womens-soccer
Simon Fraser,603180,https://athletics.sfu.ca/sports/womens-soccer
Sioux Falls,603064,https://uwrfsports.com/sports/womens-soccer
Slippery Rock,603093,https://rockathletics.com/sports/womens-soccer
Southern Conn. St.,603095,https://scsuowls.com/sports/womens-soccer
Southern N.H.,603073,https://snhupenmen.com/sports/womens-soccer
Southern Nazarene,602989,https://snuathletics.com/sports/womens-soccer
Southern Wesleyan,602998,https://swuathletics.com/sports/womens-soccer
Southwest Baptist,602931,https://www.sbubearcats.com/sports/womens-soccer
Southwest Minn. St.,602936,
Southwestern Okla.,602937,
Spring Hill,602997,https://shcbadgers.com/sports/womens-soccer
St. Cloud St.,603087,https://scsuhuskies.com/sports/womens-soccer
St. Edward's,603139,https://gohilltoppers.com/sports/womens-soccer
St. Mary's (TX),603141,https://rattlerathletics.com/sports/womens-soccer
St. Thomas Aquinas,603142,https://www.stacathletics.com/sports/wsoc/index
Stanislaus St.,603031,
Staten Island,602977,https://csidolphins.com/sports/womens-soccer
Sul Ross St.,602927,https://srlobos.com/sports/womens-soccer
Tampa,603096,https://www.tampaspartans.com/sports/wsoc/
Tex. A&M Int'l,602980,https://www.aicyellowjackets.com/sports/wsoc/index
Texas Woman's,603097,
Texas-Dallas,602928,https://utdcomets.com/sports/womens-soccer
Thomas More,603155,https://thomasmoresaints.com/sports/womens-soccer
Tiffin,603143,https://www.gotiffindragons.com/sports/wsoc/index
Trevecca Nazarene,602967,https://tnutrojans.com/sports/womens-soccer
Truman St.,603075,
Tusculum,602956,https://www.tusculumpioneers.com/sports/wsoc/index
UAH,603015,
UC Merced,603161,
UCCS,602950,
UIndy,603048,https://athletics.uindy.edu/sports/womens-soccer
UNC Pembroke,603079,
USC Aiken,602951,https://pacersports.com/sports/womens-soccer
USC Beaufort,603153,
UT Permian Basin,602979,
UT Tyler,603009,https://uttylerpatriots.com/sports/womens-soccer
Union (TN),602990,https://uuathletics.com/sports/womens-soccer
Upper Iowa,603098,https://uiupeacocks.com/sports/womens-soccer
Ursuline,603068,
Valdosta St.,603099,
Vanguard,603164,https://vanguardlions.com/sports/womens-soccer
Virginia St.,603154,
Walsh,603069,https://athletics.walsh.edu/sports/womens-soccer
Washburn,602933,
Wayne St. (NE),603144,
West Ala.,603053,
West Chester,603100,https://wcupagoldenrams.com/sports/womens-soccer
West Florida,603167,https://goargos.com/sports/womens-soccer
West Liberty,603145,https://hilltoppersports.com/sports/womens-soccer
West Tex. A&M,603101,
West Va. Wesleyan,602948,https://wesleyanbobcats.com/sports/womens-soccer
West Virginia St.,603168,
Western Colo.,602932,
Western Ore.,603146,https://wouwolves.com/sports/womens-soccer
Western Wash.,603147,
Westminster (UT),603003,https://westminstergriffins.com/sports/womens-soccer
Westmont,603157,https://athletics.westmont.edu/sports/womens-soccer
Wheeling,602954,https://wucardinals.com/sports/womens-soccer
William Jewell,602984,https://jewellcardinals.com/sports/womens-soccer
Wilmington (DE),603148,https://wildcats.athletics.wilmu.edu/sports/wsoc/index
Wingate,603149,https://wingatebulldogs.com/sports/womens-soccer
Winona St.,603102,
Wis.-Parkside,603103,
Young Harris,602991,https://yhcathletics.com/sports/womens-soccer
